audio-chapter-marker         | Audio Chapter Marker & Cue Sheet'  | client-side  | file=true
audio-compressor             | Audio Resampler (WAV)'             | client-side  | file=true
audio-finisher               | Audio Finisher'                    | client-side  | file=true
audio-merger                 | Audio Merger Studio'               | client-side  | file=true
audio-speed-pitch            | Audio Speed & Pitch'               | client-side  | file=true
audio-trimmer                | Audio Trimmer'                     | client-side  | file=true
base64                       | Base64 Encoder / Decoder'          | client-side  | file=false
color-contrast               | Color Contrast Checker'            | client-side  | file=false
community-mapping            | Community Mapping Studio'          | client-side  | file=false
csv-encoding-repair          | CSV Thai Encoding Repair'          | client-side  | file=true
csv-profiler                 | CSV Data Cleaner & Profiler'       | client-side  | file=true
data-format-converter        | Data Format Converter'             | client-side  | file=false
file-diff                    | File Diff & Change Map'            | client-side  | file=false
file-metadata                | File Metadata Viewer'              | client-side  | file=true
flowchart-studio             | Flowchart Studio'                  | client-side  | file=false
foundation-demo              | Foundation Lifecycle Demo'         | client-side  | file=false
hash-verifier                | Hash & Checksum Verifier'          | client-side  | file=false
image-blur                   | Image Blur & Sensor'               | client-side  | file=true
image-compressor             | Image Compressor'                  | client-side  | file=true
image-contact-sheet          | Image Contact Sheet Studio'        | client-side  | file=true
image-converter              | Image Converter'                   | client-side  | file=true
image-crop                   | Circle & Rounded Crop'             | client-side  | file=true
image-resizer                | Image Resizer'                     | client-side  | file=true
image-watermark              | Batch Image Watermark'             | client-side  | file=true
images-to-pdf                | Images to PDF'                     | client-side  | file=true
json-formatter               | JSON Formatter / Validator'        | client-side  | file=false
json-i18n-mapper             | JSON i18n Mapper'                  | client-side  | file=false
json-ld-generator            | JSON-LD Generator'                 | client-side  | file=false
json-schema-generator        | JSON Schema Generator'             | client-side  | file=false
json-visualizer              | ตัวแสดงผล JSON / JSON Visualizer' | client-side  | file=false
jwt-inspector                | JWT Inspector'                     | client-side  | file=false
land-measurement             | วัดระยะและพื้นที่แปลง' | client-side  | file=false
line-sticker-studio          | LINE Sticker Studio'               | client-side  | file=false
markdown-table-builder       | Markdown Table Builder'            | client-side  | file=false
orbit-catcher                | Orbit Catcher'                     | client-side  | file=false
pattern-pulse                | Pattern Pulse'                     | client-side  | file=false
pdf-merge                    | PDF Merge'                         | client-side  | file=true
pdf-organizer                | PDF Page Organizer'                | client-side  | file=true
pdf-split                    | PDF Split'                         | client-side  | file=true
pdf-to-image                 | PDF to Image'                      | client-side  | file=true
privacy-redactor             | Privacy Redactor Studio'           | client-side  | file=false
qr-generator                 | QR Code Generator'                 | client-side  | file=false
qr-reader                    | QR Code Reader'                    | client-side  | file=true
regex-playground             | Regex Playground'                  | client-side  | file=false
silence-remover              | Silence Remover'                   | client-side  | file=true
svg-asset-studio             | SVG Asset Studio'                  | client-side  | file=false
text-formatter               | Text Formatter'                    | client-side  | file=false
url-query-builder            | URL Query Builder'                 | client-side  | file=false
